iteration(log10) 	error(log10)
1	-0.884473
2	-1.16374
3	-1.3266
4	-1.43721
5	-1.52046
6	-1.58723
7	-1.643
8	-1.6909
9	-1.73284
10	-1.77011
11	-1.80359
12	-1.83394
13	-1.86165
14	-1.88711
15	-1.91065
16	-1.93252
17	-1.95298
18	-1.9722
19	-1.99038
20	-2.00766
21	-2.02417
22	-2.04002
23	-2.05531
24	-2.07013
25	-2.08455
26	-2.09862
27	-2.11241
28	-2.12594
29	-2.13927
30	-2.15241
31	-2.1654
32	-2.17826
33	-2.19101
34	-2.20366
35	-2.21623
36	-2.22873
37	-2.24116
38	-2.25354
39	-2.26587
40	-2.27815
41	-2.29041
42	-2.30262
43	-2.31481
44	-2.32697
45	-2.33911
46	-2.35123
47	-2.36333
48	-2.37542
49	-2.38749
50	-2.39954
51	-2.41159
52	-2.42362
53	-2.43564
54	-2.44766
55	-2.45966
56	-2.47166
57	-2.48365
58	-2.49564
59	-2.50762
60	-2.51959
61	-2.53157
62	-2.54353
63	-2.55549
64	-2.56745
65	-2.57941
66	-2.59136
67	-2.60331
68	-2.61526
69	-2.62721
70	-2.63915
71	-2.65109
72	-2.66304
73	-2.67498
74	-2.68691
75	-2.69885
76	-2.71079
77	-2.72272
78	-2.73466
79	-2.74659
80	-2.75852
81	-2.77045
82	-2.78238
83	-2.79431
84	-2.80625
85	-2.81818
86	-2.8301
87	-2.84203
88	-2.85396
89	-2.86589
90	-2.87782
91	-2.88975
92	-2.90168
93	-2.9136
94	-2.92553
95	-2.93746
96	-2.94939
97	-2.96131
98	-2.97324
99	-2.98517
100	-2.9971
101	-3.00902
102	-3.02095
103	-3.03288
104	-3.0448
105	-3.05673
106	-3.06866
107	-3.08058
108	-3.09251
109	-3.10444
110	-3.11636
111	-3.12829
112	-3.14022
113	-3.15215
114	-3.16407
115	-3.176
116	-3.18793
117	-3.19985
118	-3.21178
119	-3.22371
120	-3.23563
121	-3.24756
122	-3.25949
123	-3.27142
124	-3.28334
125	-3.29527
126	-3.3072
127	-3.31913
128	-3.33105
129	-3.34298
130	-3.35491
131	-3.36683
132	-3.37876
133	-3.39069
134	-3.40262
135	-3.41454
136	-3.42647
137	-3.4384
138	-3.45033
139	-3.46225
140	-3.47418
141	-3.48611
142	-3.49804
143	-3.50996
144	-3.52189
145	-3.53382
146	-3.54575
147	-3.55767
148	-3.5696
149	-3.58153
150	-3.59346
151	-3.60538
152	-3.61731
153	-3.62924
154	-3.64117
155	-3.65309
156	-3.66502
157	-3.67695
158	-3.68888
159	-3.70081
160	-3.71273
161	-3.72466
162	-3.73659
163	-3.74852
164	-3.76044
165	-3.77237
166	-3.7843
167	-3.79623
168	-3.80816
169	-3.82008
170	-3.83201
171	-3.84394
172	-3.85587
173	-3.86779
174	-3.87972
175	-3.89165
176	-3.90358
177	-3.91551
178	-3.92743
179	-3.93936
180	-3.95129
181	-3.96322
182	-3.97514
183	-3.98707
184	-3.999
185	-4.01093
186	-4.02286
187	-4.03478
188	-4.04671
189	-4.05864
190	-4.07057
191	-4.0825
192	-4.09442
193	-4.10635
194	-4.11828
195	-4.13021
196	-4.14214
197	-4.15406
198	-4.16599
199	-4.17792
200	-4.18985
201	-4.20177
202	-4.2137
203	-4.22563
204	-4.23756
205	-4.24949
206	-4.26141
207	-4.27334
208	-4.28527
209	-4.2972
210	-4.30913
211	-4.32105
212	-4.33298
213	-4.34491
214	-4.35684
215	-4.36877
216	-4.38069
217	-4.39262
218	-4.40455
219	-4.41648
220	-4.42841
221	-4.44033
222	-4.45226
223	-4.46419
224	-4.47612
225	-4.48804
226	-4.49997
227	-4.5119
228	-4.52383
229	-4.53576
230	-4.54768
231	-4.55961
232	-4.57154
233	-4.58347
234	-4.5954
235	-4.60732
236	-4.61925
237	-4.63118
238	-4.64311
239	-4.65504
240	-4.66696
241	-4.67889
242	-4.69082
243	-4.70275
244	-4.71468
245	-4.7266
246	-4.73853
247	-4.75046
248	-4.76239
249	-4.77432
250	-4.78624
251	-4.79817
252	-4.8101
253	-4.82203
254	-4.83396
255	-4.84588
256	-4.85781
257	-4.86974
258	-4.88167
259	-4.89359
260	-4.90552
261	-4.91745
262	-4.92938
263	-4.94131
264	-4.95323
265	-4.96516
266	-4.97709
267	-4.98902
268	-5.00095
269	-5.01287
270	-5.0248
271	-5.03673
272	-5.04866
273	-5.06059
274	-5.07251
275	-5.08444
276	-5.09637
277	-5.1083
278	-5.12023
279	-5.13215
280	-5.14408
281	-5.15601
282	-5.16794
283	-5.17987
284	-5.19179
285	-5.20372
286	-5.21565
287	-5.22758
288	-5.23951
289	-5.25143
290	-5.26336
291	-5.27529
292	-5.28722
293	-5.29914
294	-5.31107
295	-5.323
296	-5.33493
297	-5.34686
298	-5.35878
299	-5.37071
300	-5.38264
301	-5.39457
302	-5.4065
303	-5.41842
304	-5.43035
305	-5.44228
306	-5.45421
307	-5.46614
308	-5.47806
309	-5.48999
310	-5.50192
311	-5.51385
312	-5.52578
313	-5.5377
314	-5.54963
315	-5.56156
316	-5.57349
317	-5.58542
318	-5.59734
319	-5.60927
320	-5.6212
321	-5.63313
322	-5.64506
323	-5.65698
324	-5.66891
325	-5.68084
326	-5.69277
327	-5.7047
328	-5.71662
329	-5.72855
330	-5.74048
331	-5.75241
332	-5.76433
333	-5.77626
334	-5.78819
335	-5.80012
336	-5.81205
337	-5.82397
338	-5.8359
339	-5.84783
340	-5.85976
341	-5.87169
342	-5.88361
343	-5.89554
344	-5.90747
345	-5.9194
346	-5.93133
347	-5.94325
348	-5.95518
349	-5.96711
350	-5.97904
351	-5.99097
352	-6.00289
