iteration(log10) 	error(log10)
1	-0.233782
2	-0.688904
3	-0.756465
4	-0.819446
5	-0.879096
6	-0.936168
7	-0.99155
8	-1.04525
9	-1.09734
10	-1.14757
11	-1.19584
12	-1.24199
13	-1.28585
14	-1.32734
15	-1.36644
16	-1.40318
17	-1.43771
18	-1.47021
19	-1.49051
20	-1.51865
21	-1.5504
22	-1.58306
23	-1.60942
24	-1.63454
25	-1.66004
26	-1.68463
27	-1.7096
28	-1.73528
29	-1.7609
30	-1.78668
31	-1.81327
32	-1.841
33	-1.86984
34	-1.90005
35	-1.93197
36	-1.96572
37	-2.00124
38	-1.77373
39	-2.0858
40	-2.49897
41	-2.67915
42	-2.73428
43	-2.81491
44	-2.88101
45	-2.93283
46	-2.98405
47	-3.03231
48	-3.07856
49	-3.12219
50	-3.16405
51	-3.20598
52	-3.24455
53	-3.28191
54	-3.31737
55	-3.35018
56	-3.38135
57	-3.40102
58	-3.40955
59	-3.49979
60	-3.51993
61	-3.54183
62	-3.59676
63	-3.65349
64	-3.68114
65	-3.7171
66	-3.74641
67	-3.77386
68	-3.80228
69	-3.82952
70	-3.85931
71	-3.89006
72	-3.92066
73	-3.95145
74	-3.9836
75	-4.01581
76	-3.81165
77	-4.04234
78	-4.49043
79	-4.59736
80	-4.70326
81	-4.77326
82	-4.80226
83	-4.85185
84	-4.90177
85	-4.94076
86	-4.9889
87	-5.02306
88	-5.07823
89	-5.12632
90	-5.16692
91	-5.20067
92	-5.23335
93	-5.26237
94	-5.28277
95	-5.3206
96	-5.35391
97	-5.42818
98	-5.46466
99	-5.55245
100	-5.57157
101	-5.65039
102	-5.67936
103	-5.71261
104	-5.74622
105	-5.77677
106	-5.80762
107	-5.83589
108	-5.86753
109	-5.89735
110	-5.92729
111	-5.9568
112	-5.98653
113	-6.01384
