iteration(log10) 	error(log10)
1	-1.02138
2	-1.2847
3	-1.42767
4	-1.5272
5	-1.60377
6	-1.66609
7	-1.71866
8	-1.76416
9	-1.80427
10	-1.84016
11	-1.87263
12	-1.90229
13	-1.92959
14	-1.95488
15	-1.97844
16	-2.00049
17	-2.0212
18	-2.04072
19	-2.05918
20	-2.07666
21	-2.09326
22	-2.10905
23	-2.12409
24	-2.13845
25	-2.15216
26	-2.16529
27	-2.17786
28	-2.18993
29	-2.20152
30	-2.21268
31	-2.22343
32	-2.2338
33	-2.24383
34	-2.25354
35	-2.26295
36	-2.27209
37	-2.28098
38	-2.28964
39	-2.29808
40	-2.30633
41	-2.31441
42	-2.32232
43	-2.33007
44	-2.3377
45	-2.34519
46	-2.35257
47	-2.35984
48	-2.36702
49	-2.37411
50	-2.38111
51	-2.38805
52	-2.39491
53	-2.40171
54	-2.40845
55	-2.41514
56	-2.42179
57	-2.42838
58	-2.43494
59	-2.44145
60	-2.44794
61	-2.45439
62	-2.46081
63	-2.4672
64	-2.47357
65	-2.47991
66	-2.48623
67	-2.49253
68	-2.49881
69	-2.50508
70	-2.51133
71	-2.51756
72	-2.52378
73	-2.52998
74	-2.53618
75	-2.54236
76	-2.54853
77	-2.55469
78	-2.56084
79	-2.56698
80	-2.57311
81	-2.57923
82	-2.58535
83	-2.59146
84	-2.59756
85	-2.60366
86	-2.60975
87	-2.61583
88	-2.62191
89	-2.62798
90	-2.63405
91	-2.64012
92	-2.64617
93	-2.65223
94	-2.65828
95	-2.66433
96	-2.67037
97	-2.67641
98	-2.68245
99	-2.68848
100	-2.69452
101	-2.70054
102	-2.70657
103	-2.71259
104	-2.71861
105	-2.72463
106	-2.73065
107	-2.73666
108	-2.74267
109	-2.74868
110	-2.75469
111	-2.76069
112	-2.7667
113	-2.7727
114	-2.7787
115	-2.7847
116	-2.7907
117	-2.79669
118	-2.80269
119	-2.80868
120	-2.81468
121	-2.82067
122	-2.82666
123	-2.83265
124	-2.83863
125	-2.84462
126	-2.85061
127	-2.85659
128	-2.86258
129	-2.86856
130	-2.87454
131	-2.88053
132	-2.88651
133	-2.89249
134	-2.89847
135	-2.90445
136	-2.91043
137	-2.9164
138	-2.92238
139	-2.92836
140	-2.93433
141	-2.94031
142	-2.94629
143	-2.95226
144	-2.95824
145	-2.96421
146	-2.97018
147	-2.97616
148	-2.98213
149	-2.9881
150	-2.99407
151	-3.00005
152	-3.00602
153	-3.01199
154	-3.01796
155	-3.02393
156	-3.0299
157	-3.03587
158	-3.04184
159	-3.04781
160	-3.05378
161	-3.05975
162	-3.06572
163	-3.07169
164	-3.07765
165	-3.08362
166	-3.08959
167	-3.09556
168	-3.10153
169	-3.10749
170	-3.11346
171	-3.11943
172	-3.1254
173	-3.13136
174	-3.13733
175	-3.1433
176	-3.14926
177	-3.15523
178	-3.1612
179	-3.16716
180	-3.17313
181	-3.1791
182	-3.18506
183	-3.19103
184	-3.19699
185	-3.20296
186	-3.20893
187	-3.21489
188	-3.22086
189	-3.22682
190	-3.23279
191	-3.23875
192	-3.24472
193	-3.25068
194	-3.25665
195	-3.26262
196	-3.26858
197	-3.27455
198	-3.28051
199	-3.28648
200	-3.29244
201	-3.29841
202	-3.30437
203	-3.31034
204	-3.3163
205	-3.32227
206	-3.32823
207	-3.33419
208	-3.34016
209	-3.34612
210	-3.35209
211	-3.35805
212	-3.36402
213	-3.36998
214	-3.37595
215	-3.38191
216	-3.38788
217	-3.39384
218	-3.39981
219	-3.40577
220	-3.41173
221	-3.4177
222	-3.42366
223	-3.42963
224	-3.43559
225	-3.44156
226	-3.44752
227	-3.45348
228	-3.45945
229	-3.46541
230	-3.47138
231	-3.47734
232	-3.48331
233	-3.48927
234	-3.49523
235	-3.5012
236	-3.50716
237	-3.51313
238	-3.51909
239	-3.52506
240	-3.53102
241	-3.53698
242	-3.54295
243	-3.54891
244	-3.55488
245	-3.56084
246	-3.5668
247	-3.57277
248	-3.57873
249	-3.5847
250	-3.59066
251	-3.59662
252	-3.60259
253	-3.60855
254	-3.61452
255	-3.62048
256	-3.62645
257	-3.63241
258	-3.63837
