iteration(log10) 	error(log10)
1	0.981271
2	0.662626
3	0.502293
4	0.393796
5	0.311639
6	0.245169
7	0.188661
8	0.13906
9	0.0948432
10	0.055171
11	0.0194587
12	-0.0127868
13	-0.0420092
14	-0.0686088
15	-0.0929406
16	-0.115315
17	-0.135998
18	-0.155217
19	-0.173167
20	-0.19001
21	-0.205885
22	-0.22091
23	-0.235185
24	-0.248794
25	-0.26181
26	-0.274296
27	-0.286304
28	-0.297881
29	-0.309068
30	-0.319899
31	-0.330405
32	-0.340613
33	-0.350547
34	-0.360228
35	-0.369674
36	-0.378903
37	-0.387929
38	-0.396767
39	-0.405428
40	-0.413924
41	-0.422266
42	-0.430463
43	-0.438523
44	-0.446456
45	-0.454268
46	-0.461967
47	-0.46956
48	-0.477053
49	-0.484451
50	-0.491761
51	-0.498987
52	-0.506135
53	-0.513209
54	-0.520214
55	-0.527154
56	-0.534033
57	-0.540854
58	-0.547621
59	-0.554338
60	-0.561008
61	-0.567633
62	-0.574217
63	-0.580762
64	-0.58727
65	-0.593744
66	-0.600187
67	-0.606599
68	-0.612984
69	-0.619342
70	-0.625676
71	-0.631987
72	-0.638277
73	-0.644547
74	-0.650799
75	-0.657033
76	-0.66325
77	-0.669453
78	-0.675641
79	-0.681816
80	-0.687979
81	-0.69413
82	-0.70027
83	-0.7064
84	-0.712521
85	-0.718632
86	-0.724736
87	-0.730831
88	-0.736919
89	-0.743
90	-0.749075
91	-0.755143
92	-0.761206
93	-0.767263
94	-0.773315
95	-0.779363
96	-0.785406
97	-0.791444
98	-0.797479
99	-0.80351
100	-0.809537
101	-0.81556
102	-0.82158
103	-0.827597
104	-0.833611
105	-0.839623
106	-0.845631
107	-0.851637
108	-0.85764
109	-0.863641
110	-0.86964
111	-0.875637
112	-0.881631
113	-0.887623
114	-0.893613
115	-0.899602
116	-0.905588
117	-0.911573
118	-0.917556
119	-0.923537
120	-0.929517
121	-0.935495
122	-0.941471
123	-0.947446
124	-0.95342
125	-0.959392
126	-0.965362
127	-0.971332
128	-0.977299
129	-0.983266
130	-0.989231
131	-0.995195
132	-1.00116
133	-1.00712
134	-1.01308
135	-1.01904
136	-1.025
137	-1.03095
138	-1.03691
139	-1.04286
140	-1.04882
141	-1.05477
142	-1.06072
143	-1.06667
144	-1.07262
145	-1.07857
146	-1.08452
147	-1.09046
148	-1.09641
149	-1.10235
150	-1.1083
151	-1.11424
152	-1.12018
153	-1.12612
154	-1.13206
155	-1.138
156	-1.14394
157	-1.14988
158	-1.15581
159	-1.16175
160	-1.16768
161	-1.17362
162	-1.17955
163	-1.18548
164	-1.19141
