iteration(log10) 	error(log10)
1	0.897606
2	0.542838
3	0.387181
4	0.282989
5	0.204218
6	0.140772
7	0.0875851
8	0.0417051
9	0.001257
10	-0.0350078
11	-0.0679462
12	-0.0981616
13	-0.12609
14	-0.152057
15	-0.176309
16	-0.199044
17	-0.22042
18	-0.240569
19	-0.259604
20	-0.277621
21	-0.294705
22	-0.310932
23	-0.326368
24	-0.341075
25	-0.355106
26	-0.368513
27	-0.38134
28	-0.393629
29	-0.405419
30	-0.416743
31	-0.427634
32	-0.438121
33	-0.448232
34	-0.457992
35	-0.467423
36	-0.476547
37	-0.485383
38	-0.493949
39	-0.502263
40	-0.510339
41	-0.518191
42	-0.525834
43	-0.533279
44	-0.540538
45	-0.547621
46	-0.554538
47	-0.561298
48	-0.56791
49	-0.574381
50	-0.580718
51	-0.586929
52	-0.59302
53	-0.598997
54	-0.604865
55	-0.61063
56	-0.616296
57	-0.621868
58	-0.62735
59	-0.632747
60	-0.638062
61	-0.643298
62	-0.648459
63	-0.653548
64	-0.658568
65	-0.663522
66	-0.668413
67	-0.673242
68	-0.678013
69	-0.682727
70	-0.687387
71	-0.691995
72	-0.696552
73	-0.701061
74	-0.705523
75	-0.709941
76	-0.714314
77	-0.718646
78	-0.722937
79	-0.727189
80	-0.731404
81	-0.735582
82	-0.739724
83	-0.743833
84	-0.747908
85	-0.751952
86	-0.755965
87	-0.759948
88	-0.763902
89	-0.767828
90	-0.771728
91	-0.775601
92	-0.779448
93	-0.783271
94	-0.787071
95	-0.790847
96	-0.794601
97	-0.798334
98	-0.802046
99	-0.805737
100	-0.809409
101	-0.813061
102	-0.816695
103	-0.820312
104	-0.823911
105	-0.827493
106	-0.831059
107	-0.834609
108	-0.838144
109	-0.841664
110	-0.84517
111	-0.848662
112	-0.85214
113	-0.855606
114	-0.859058
115	-0.862498
116	-0.865926
117	-0.869343
118	-0.872748
119	-0.876143
120	-0.879527
121	-0.882901
122	-0.886264
123	-0.889618
124	-0.892963
125	-0.896299
126	-0.899626
127	-0.902944
128	-0.906254
129	-0.909556
130	-0.91285
131	-0.916136
132	-0.919415
133	-0.922687
134	-0.925952
135	-0.92921
136	-0.932462
137	-0.935707
138	-0.938947
139	-0.94218
140	-0.945407
141	-0.948629
142	-0.951845
143	-0.955056
144	-0.958261
145	-0.961462
146	-0.964658
147	-0.967849
148	-0.971035
149	-0.974217
150	-0.977394
151	-0.980567
152	-0.983736
153	-0.986901
154	-0.990062
155	-0.99322
156	-0.996373
157	-0.999523
158	-1.00267
159	-1.00581
160	-1.00895
161	-1.01209
162	-1.01522
163	-1.01835
164	-1.02148
165	-1.0246
166	-1.02773
167	-1.03084
168	-1.03396
169	-1.03707
170	-1.04018
171	-1.04329
172	-1.0464
173	-1.0495
174	-1.0526
175	-1.0557
176	-1.0588
177	-1.0619
178	-1.06499
179	-1.06808
180	-1.07117
181	-1.07425
182	-1.07734
183	-1.08042
184	-1.0835
185	-1.08658
186	-1.08966
187	-1.09274
188	-1.09581
189	-1.09888
190	-1.10195
191	-1.10502
192	-1.10809
193	-1.11116
194	-1.11422
195	-1.11729
196	-1.12035
197	-1.12341
198	-1.12647
199	-1.12953
200	-1.13259
201	-1.13564
202	-1.1387
203	-1.14175
204	-1.14481
205	-1.14786
206	-1.15091
207	-1.15396
208	-1.157
209	-1.16005
210	-1.1631
211	-1.16614
212	-1.16919
213	-1.17223
214	-1.17527
215	-1.17832
216	-1.18136
217	-1.1844
218	-1.18743
219	-1.19047
220	-1.19351
221	-1.19655
222	-1.19958
