iteration(log10) 	error(log10)
1	1.37355
2	1.32008
3	1.26752
4	1.21571
5	1.16453
6	1.26541
7	1.03738
8	0.980884
9	0.931096
10	0.884333
11	0.837229
12	0.789659
13	0.741454
14	0.692995
15	0.644431
16	0.596169
17	0.548333
18	0.500999
19	0.454168
20	0.379941
21	0.332144
22	0.275989
23	0.232388
24	0.19345
25	0.158979
26	0.274038
27	0.0432125
28	-0.140024
29	-0.299362
30	-0.445511
31	-0.559591
32	-0.659151
33	-0.755636
34	-0.84136
35	-0.913562
36	-0.975924
37	-1.0267
38	-1.07574
39	-1.12112
40	-1.16187
41	-1.20231
42	-1.23809
43	-1.27143
44	-1.31122
45	-1.35045
46	-1.37121
47	-1.39328
48	-1.42742
49	-1.44593
50	-1.47375
51	-1.52311
52	-1.58294
53	-1.64698
54	-1.71095
55	-1.7795
56	-1.82847
57	-1.90052
58	-1.99936
59	-2.06476
60	-2.11294
61	-2.16534
62	-2.2174
63	-2.2815
64	-2.34171
65	-2.397
66	-2.44503
67	-2.49245
68	-2.53183
69	-2.54733
70	-2.561
71	-2.6562
72	-2.72245
73	-2.76162
74	-2.78178
75	-2.80279
76	-2.84406
77	-2.91079
78	-2.95029
79	-2.9982
80	-3.03411
81	-3.09718
82	-3.14096
83	-3.2242
84	-3.29042
85	-3.34953
86	-3.40039
87	-3.43839
88	-3.46631
89	-3.50109
90	-3.54189
91	-3.58803
92	-3.63498
93	-3.67611
94	-3.71172
95	-3.75712
96	-3.82608
97	-3.89509
98	-3.95074
99	-4.01823
100	-4.09606
101	-4.15457
102	-4.20188
103	-4.24475
104	-4.2916
105	-4.3216
106	-4.34439
107	-4.38188
108	-4.4212
109	-4.44086
110	-4.46915
111	-4.52446
112	-4.58176
113	-4.62662
114	-4.67526
115	-4.72589
116	-4.76822
117	-4.80717
118	-4.84247
119	-4.86598
120	-4.88687
121	-4.91622
122	-4.97745
123	-5.03657
124	-5.10838
125	-5.19803
126	-5.2804
127	-5.35387
128	-5.42335
129	-5.47195
130	-5.51403
131	-5.55302
132	-5.59054
133	-5.62608
134	-5.65902
135	-5.69391
136	-5.72218
137	-5.75629
138	-5.79055
139	-5.82941
140	-5.86306
141	-5.89134
142	-5.93085
143	-5.97606
144	-6.01868
